TOTAL,SW,EB,INST_TOT,INST_SW,INST_EB,STATE,YEAR
6568.0,4256.0,1458.0,3816.0,2660.0,957.0,Michigan,1995
5867.0,3715.0,1016.0,3785.0,2613.0,738.0,Minnesota,1995
3791.0,2462.0,620.0,2351.0,1748.0,424.0,Mississippi,1995
4795.0,3282.0,652.0,2929.0,2225.0,417.0,Missouri,1995
5101.0,3243.0,886.0,3185.0,2300.0,615.0,Montana,1995
5489.0,3399.0,974.0,3627.0,2426.0,676.0,Nebraska,1995
4726.0,3188.0,866.0,2814.0,2107.0,575.0,Nevada,1995
5602.0,3529.0,747.0,3574.0,2636.0,535.0,New Hampshire,1995
8974.0,6168.0,1084.0,5165.0,3942.0,640.0,New Jersey,1995
4111.0,2536.0,687.0,2366.0,1732.0,447.0,New Mexico,1995
8424.0,5599.0,1552.0,5673.0,4225.0,1186.0,New York,1995
4762.0,3242.0,790.0,2955.0,2210.0,539.0,North Carolina,1995
4473.0,2855.0,703.0,2744.0,2017.0,503.0,North Dakota,1995
5698.0,3710.0,1063.0,3330.0,2408.0,652.0,Ohio,1995
4470.0,2933.0,490.0,2663.0,1998.0,321.0,Oklahoma,1995
5654.0,3385.0,1222.0,3428.0,2288.0,791.0,Oregon,1995
6503.0,3997.0,1283.0,4116.0,2861.0,902.0,Pennsylvania,1995
6855.0,4396.0,1199.0,4592.0,3227.0,870.0,Rhode Island,1995
4439.0,2952.0,754.0,2632.0,1973.0,487.0,South Carolina,1995
4246.0,2721.0,599.0,2651.0,1903.0,411.0,South Dakota,1995
3921.0,2698.0,628.0,2548.0,1965.0,448.0,Tennessee,1995
4740.0,3321.0,308.0,2897.0,2296.0,185.0,Texas,1995
3471.0,2133.0,759.0,2254.0,1487.0,528.0,Utah,1995
6179.0,4070.0,859.0,3977.0,2936.0,605.0,Vermont,1995
5316.0,3706.0,947.0,3255.0,2494.0,634.0,Virginia,1995
5493.0,3488.0,1085.0,3281.0,2301.0,715.0,Washington,1995
5619.0,3624.0,931.0,3556.0,2442.0,617.0,West Virginia,1995
6236.0,3849.0,1322.0,3980.0,2787.0,930.0,Wisconsin,1995
5742.0,3730.0,1063.0,3559.0,2530.0,706.0,Wyoming,1995
5656.0,3712.0,922.0,3485.0,2540.0,617.0,United States,1996
4311.0,2874.0,746.0,2663.0,1985.0,531.0,Alabama,1996
8169.0,5087.0,1321.0,4634.0,3336.0,823.0,Alaska,1996
4358.0,3202.0,544.0,2501.0,2103.0,341.0,Arizona,1996
4445.0,2870.0,326.0,2789.0,1967.0,183.0,Arkansas,1996
4912.0,3196.0,941.0,2950.0,2086.0,606.0,California,1996
5051.0,3465.0,756.0,3127.0,2390.0,512.0,Colorado,1996
7970.0,5243.0,915.0,5216.0,3801.0,631.0,Connecticut,1996
6647.0,4089.0,1325.0,4126.0,2881.0,936.0,Delaware,1996
8510.0,5151.0,1862.0,4197.0,2905.0,971.0,District of Columbia,1996
5136.0,3320.0,1140.0,2932.0,2038.0,685.0,Florida,1996
5097.0,3388.0,904.0,3141.0,2326.0,643.0,Georgia,1996
5705.0,3647.0,1157.0,3585.0,2433.0,772.0,Hawaii,1996
4177.0,2673.0,820.0,2642.0,1873.0,558.0,Idaho,1996
5476.0,3636.0,689.0,3243.0,2520.0,418.0,Illinois,1996
5492.0,3616.0,830.0,3371.0,2472.0,579.0,Indiana,1996
5449.0,3618.0,873.0,3343.0,2417.0,579.0,Iowa,1996
5442.0,3712.0,605.0,3171.0,2518.0,353.0,Kansas,1996
4882.0,3287.0,177.0,2930.0,2280.0,494.0,Kentucky,1996
4355.0,2880.0,789.0,2606.0,1924.0,539.0,Louisiana,1996
6109.0,3842.0,719.0,4014.0,2755.0,411.0,Maine,1996
6574.0,4094.0,861.0,3970.0,2727.0,553.0,Maryland,1996
6919.0,4206.0,647.0,4559.0,3107.0,432.0,Massachusetts,1996
6691.0,4375.0,1565.0,3931.0,2737.0,971.0,Michigan,1996
5892.0,3697.0,926.0,3837.0,2696.0,678.0,Minnesota,1996
3946.0,2569.0,633.0,2446.0,1815.0,431.0,Mississippi,1996
5018.0,3428.0,680.0,3085.0,2340.0,440.0,Missouri,1996
5207.0,3313.0,901.0,3250.0,2359.0,627.0,Montana,1996
5638.0,3535.0,988.0,3684.0,2498.0,704.0,Nebraska,1996
4884.0,3282.0,897.0,2895.0,2164.0,592.0,Nevada,1996
5685.0,3615.0,781.0,3737.0,2715.0,570.0,New Hampshire,1996
9208.0,6063.0,1073.0,5543.0,4053.0,637.0,New Jersey,1996
4237.0,2656.0,702.0,2422.0,1805.0,461.0,New Mexico,1996
8374.0,5608.0,1614.0,5678.0,4190.0,1222.0,New York,1996
4793.0,3223.0,782.0,2982.0,2203.0,535.0,North Carolina,1996
4669.0,2958.0,726.0,2841.0,2086.0,517.0,North Dakota,1996
5847.0,3772.0,1139.0,3427.0,2469.0,671.0,Ohio,1996
4500.0,2902.0,490.0,2662.0,1971.0,324.0,Oklahoma,1996
5851.0,3520.0,1217.0,3561.0,2372.0,782.0,Oregon,1996
6993.0,4393.0,1407.0,4454.0,3155.0,984.0,Pennsylvania,1996
6980.0,4500.0,1165.0,4671.0,3308.0,851.0,Rhode Island,1996
4646.0,3059.0,778.0,2820.0,2105.0,522.0,South Carolina,1996
4256.0,2723.0,596.0,2650.0,1906.0,410.0,South Dakota,1996
4143.0,2845.0,670.0,2644.0,2032.0,467.0,Tennessee,1996
4967.0,3444.0,321.0,3049.0,2373.0,194.0,Texas,1996
3682.0,2263.0,788.0,2374.0,1569.0,548.0,Utah,1996
6298.0,4162.0,877.0,4022.0,3001.0,616.0,Vermont,1996
5446.0,3839.0,982.0,3335.0,2531.0,639.0,Virginia,1996
5650.0,3617.0,1084.0,3369.0,2390.0,715.0,Washington,1996
5830.0,3680.0,1068.0,3685.0,2495.0,710.0,West Virginia,1996
6458.0,3970.0,1372.0,4100.0,2871.0,968.0,Wisconsin,1996
5820.0,3768.0,1074.0,3606.0,2563.0,712.0,Wyoming,1996
6137.0,4034.0,1054.0,3788.0,2760.0,708.0,United States,1998
4846.0,3172.0,821.0,2961.0,2160.0,539.0,Alabama,1998
8253.0,5117.0,1313.0,4712.0,3323.0,841.0,Alaska,1998
4483.0,3141.0,571.0,2569.0,2078.0,369.0,Arizona,1998
4940.0,3249.0,785.0,2996.0,2127.0,491.0,Arkansas,1998
5639.0,3680.0,1009.0,3452.0,2441.0,666.0,California,1998
5616.0,3709.0,696.0,3280.0,2479.0,456.0,Colorado,1998
8266.0,5472.0,1340.0,5315.0,3933.0,939.0,Connecticut,1998
7314.0,4380.0,1472.0,4570.0,3085.0,1038.0,Delaware,1998
8474.0,5164.0,,3676.0,3089.0,,District of Columbia,1998
