STATE,A_MEDIAN,OCC_CAT,YEAR
Florida,59930,23,2008
Florida,42770,25,2008
Florida,39620,27,2008
Florida,53270,29,2008
Florida,24130,31,2008
Florida,32180,33,2008
Florida,18100,35,2008
Florida,20380,37,2008
Florida,19880,39,2008
Florida,25700,41,2008
Florida,27630,43,2008
Florida,18000,45,2008
Florida,32520,47,2008
Florida,35020,49,2008
Florida,26920,51,2008
Florida,25610,53,2008
Georgia,30650,00,2008
Georgia,82910,11,2008
Georgia,58300,13,2008
Georgia,69260,15,2008
Georgia,60870,17,2008
Georgia,52550,19,2008
Georgia,35130,21,2008
Georgia,68110,23,2008
Georgia,42780,25,2008
Georgia,41170,27,2008
Georgia,52930,29,2008
Georgia,22260,31,2008
Georgia,29710,33,2008
Georgia,16190,35,2008
Georgia,19960,37,2008
Georgia,20240,39,2008
Georgia,23600,41,2008
Georgia,29070,43,2008
Georgia,20990,45,2008
Georgia,31700,47,2008
Georgia,37700,49,2008
Georgia,26170,51,2008
Georgia,25870,53,2008
Hawaii,33380,00,2008
Hawaii,76280,11,2008
Hawaii,52870,13,2008
Hawaii,62540,15,2008
Hawaii,67170,17,2008
Hawaii,55100,19,2008
Hawaii,43290,21,2008
Hawaii,62830,23,2008
Hawaii,43090,25,2008
Hawaii,36300,27,2008
Hawaii,70520,29,2008
Hawaii,29470,31,2008
Hawaii,34020,33,2008
Hawaii,20300,35,2008
Hawaii,28090,37,2008
Hawaii,23460,39,2008
Hawaii,24240,41,2008
Hawaii,31220,43,2008
Hawaii,28370,45,2008
Hawaii,55580,47,2008
Hawaii,43370,49,2008
Hawaii,29610,51,2008
Hawaii,29370,53,2008
Idaho,29790,00,2008
Idaho,64760,11,2008
Idaho,49350,13,2008
Idaho,52710,15,2008
Idaho,60990,17,2008
Idaho,42960,19,2008
Idaho,36410,21,2008
Idaho,56470,23,2008
Idaho,46380,25,2008
Idaho,30850,27,2008
Idaho,51590,29,2008
Idaho,22860,31,2008
Idaho,33310,33,2008
Idaho,16630,35,2008
Idaho,22020,37,2008
Idaho,18530,39,2008
Idaho,23130,41,2008
Idaho,27190,43,2008
Idaho,21920,45,2008
Idaho,33030,47,2008
Idaho,34530,49,2008
Idaho,28100,51,2008
Idaho,27020,53,2008
Illinois,33910,00,2008
Illinois,89720,11,2008
Illinois,58830,13,2008
Illinois,72000,15,2008
Illinois,67440,17,2008
Illinois,60310,19,2008
Illinois,39430,21,2008
Illinois,87900,23,2008
Illinois,49400,25,2008
Illinois,40780,27,2008
Illinois,56260,29,2008
Illinois,24820,31,2008
Illinois,38880,33,2008
Illinois,17890,35,2008
Illinois,22890,37,2008
Illinois,20580,39,2008
